OID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,DIST0228_,DIST0228_I,DISTNUMBER,DIST_NAME,Shape_Length,Shape_Area_1
30,56114,56114,B5,G6350,S,122252737.000000000000000,1739761.000000000000000,+43.9762174,-095.5932537,82017.042047700000694,124025833.372999995946884,31,1,30,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,82017.042047695038491,124025833.372824087738991
31,56115,56115,B5,G6350,S,309690535.000000000000000,7952104.000000000000000,+44.2094570,-095.9057710,122754.953827000004821,317807591.294000029563904,32,1,31,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,122754.953826974408003,317807591.293910920619965
32,56116,56116,B5,G6350,S,110508809.000000000000000,17475.000000000000000,+43.6143808,-096.3863427,73171.909606500004884,110640390.562000006437302,33,1,32,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,73171.909606548448210,110640390.561690554022789
33,56117,56117,B5,G6350,S,66092859.000000000000000,825399.000000000000000,+43.5231155,-095.6873756,50175.217743100001826,66942261.569600000977516,34,1,33,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,50175.217743118460930,66942261.569613151252270
34,56118,56118,B5,G6350,S,136542682.000000000000000,2111623.000000000000000,+43.9505787,-095.0291797,96124.465768499998376,138634116.397000014781952,35,1,34,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,96124.465768519308767,138634116.396877259016037
35,56119,56119,B5,G6350,S,234621224.000000000000000,2003496.000000000000000,+43.7137206,-095.4629961,111594.005569999993895,236665813.810999989509583,36,1,35,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,111594.005569589135121,236665813.811186373233795
36,56120,56120,B5,G6350,S,257667933.000000000000000,3489254.000000000000000,+43.9623776,-094.7926405,104674.879711999994470,261081136.511999994516373,37,1,36,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,104674.879711677640444,261081136.512444108724594
37,56121,56121,B5,G6350,S,96396460.000000000000000,9930438.000000000000000,+43.5346150,-094.5842333,64321.618797000002814,106286208.082000002264977,38,1,37,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,64321.618797044131497,106286208.081583097577095
38,56122,56122,B5,G6350,S,131316847.000000000000000,249531.000000000000000,+43.8984451,-095.9560003,67432.466574799997034,131643257.415999993681908,39,1,38,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,67432.466574845151627,131643257.416427716612816
39,56123,56123,B5,G6350,S,180554504.000000000000000,3096133.000000000000000,+44.0869372,-095.5924144,92998.925421399995685,183698988.874000012874603,40,1,39,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,92998.925421387553797,183698988.874270647764206
40,56125,56125,B5,G6350,S,2621496.000000000000000,0.000000000000000,+44.0581879,-095.5528659,6471.185524110000188,2622095.491390000097454,41,1,40,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,6471.185524112615894,2622095.491391212679446
41,56127,56127,B5,G6350,S,135875499.000000000000000,13708.000000000000000,+43.5474872,-094.7647157,58949.538618799997494,135849232.976000010967255,42,1,41,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,58949.538618769402092,135849232.976275950670242
42,56128,56128,B5,G6350,S,303776410.000000000000000,497986.000000000000000,+43.8815420,-096.1103029,118427.410241999998107,304500132.625000000000000,43,1,42,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,118427.410242168945842,304500132.625179111957550
43,56129,56129,B5,G6350,S,121079413.000000000000000,51420.000000000000000,+43.5292027,-096.0418959,66026.158763600004022,121213963.077000007033348,44,1,43,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,66026.158763589613955,121213963.076677620410919
44,56131,56131,B5,G6350,S,420523372.000000000000000,10222036.000000000000000,+43.8558474,-095.5725387,133453.293460999993840,430856264.671000003814697,45,1,44,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,133453.293461169203511,430856264.670587301254272
45,56132,56132,B5,G6350,S,154313421.000000000000000,9294541.000000000000000,+44.2034514,-095.7649409,86340.402638200001093,163672632.618000000715256,46,1,45,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,86340.402638207335258,163672632.617752194404602
46,56134,56134,B5,G6350,S,132353995.000000000000000,0.000000000000000,+43.7956942,-096.2384008,68573.726172900001984,132469213.461999997496605,47,1,46,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,68573.726172865150147,132469213.462077111005783
47,56136,56136,B5,G6350,S,222046490.000000000000000,6397199.000000000000000,+44.4949150,-096.3946469,90502.174848299997393,228670777.198000013828278,48,1,47,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,90502.174848328111693,228670777.197998672723770
48,56137,56137,B5,G6350,S,304220457.000000000000000,9779776.000000000000000,+43.8403659,-095.3306948,109563.065197000003536,314019559.634999990463257,49,1,48,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,109563.065197036514292,314019559.634956598281860
49,56138,56138,B5,G6350,S,75037129.000000000000000,26714.000000000000000,+43.5345818,-096.3895246,40753.541639499999292,75142206.385800004005432,50,1,49,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,40753.541639518807642,75142206.385795101523399
50,56139,56139,B5,G6350,S,115621578.000000000000000,371833.000000000000000,+44.1039290,-096.1794270,77188.645361799994134,116085200.751000002026558,51,1,50,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,77188.645361778864753,116085200.750735715031624
51,56140,56140,B5,G6350,S,311600.000000000000000,11365.000000000000000,+43.9087725,-096.3680046,3425.571689660000175,323287.603498000011314,52,1,51,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,3425.571689660464017,323287.603498010605108
52,56141,56141,B5,G6350,S,102758025.000000000000000,760402.000000000000000,+43.8770795,-095.8038800,66972.665633500000695,103563607.753999993205070,53,1,52,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,66972.665633475204231,103563607.753577530384064
53,56142,56142,B5,G6350,S,250115947.000000000000000,4853280.000000000000000,+44.4676397,-096.2310418,112696.617373000000953,255180032.099000006914139,54,1,53,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,112696.617372798777069,255180032.098657131195068
54,56143,56143,B5,G6350,S,472483631.000000000000000,5483860.000000000000000,+43.6326173,-095.0086706,152628.871034999989206,477892750.435000002384186,55,1,54,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,152628.871034923708066,477892750.435183703899384
